"","date","pce_serv","pce_nondur","pce_price_index","pop","nom_dpi","nom_pce_serv_nondur","real_serv_nondur","real_dpi","real_serv_nondur_pc_lag0","real_serv_nondur_pc_lag1","real_serv_nondur_pc_lag2","real_serv_nondur_pc_lag3","real_serv_nondur_pc_lag4","real_dpi_pc_lag0","real_dpi_pc_lag1","real_dpi_pc_lag2","real_dpi_pc_lag3","real_dpi_pc_lag4"
"105",1986-01-01,1652.771,779.252,51.047,179825.333333333,3242.4,2432.023,4764.28193625482,6351.79344525633,26493.9419154225,26412.4567897513,26252.673600514,25974.7545058861,25786.9024363522,35322.0168010607,35021.4927204018,34742.2960829095,34930.216456657,34328.3249871799
"106",1986-04-01,1676.713,767.452,50.993,180320.666666667,3279.73333333333,2444.165,4793.13827388073,6431.73246001085,26581.1920645853,26493.9419154225,26412.4567897513,26252.673600514,25974.7545058861,35668.3045759823,35322.0168010607,35021.4927204018,34742.2960829095,34930.216456657
"107",1986-07-01,1700.452,771.042,51.263,180835.666666667,3315.43333333333,2471.494,4821.20437742621,6467.49767538641,26660.6940228949,26581.1920645853,26493.9419154225,26412.4567897513,26252.673600514,35764.5026260661,35668.3045759823,35322.0168010607,35021.4927204018,34742.2960829095
"108",1986-10-01,1732.668,779.007,51.573,181365.333333333,3335.93333333333,2511.675,4870.1355360363,6468.37169319864,26852.6263896608,26660.6940228949,26581.1920645853,26493.9419154225,26412.4567897513,35664.8736244999,35764.5026260661,35668.3045759823,35322.0168010607,35021.4927204018
"109",1987-01-01,1767.634,797.382,52.061,182001.333333333,3392.3,2565.016,4926.94339332706,6516.01006511592,27070.9192240005,26852.6263896608,26660.6940228949,26581.1920645853,26493.9419154225,35801.9908193855,35664.8736244999,35764.5026260661,35668.3045759823,35322.0168010607
"110",1987-04-01,1801.948,812.281,52.564,182526.666666667,3389.63333333333,2614.229,4973.42097252873,6448.58331430891,27247.640376906,27070.9192240005,26852.6263896608,26660.6940228949,26581.1920645853,35329.5407847743,35801.9908193855,35664.8736244999,35764.5026260661,35668.3045759823
"111",1987-07-01,1836.16,820.656,53.062,183016,3483.13333333333,2656.816,5007.00312841581,6564.27072732527,27358.2808520338,27247.640376906,27070.9192240005,26852.6263896608,26660.6940228949,35867.1959136101,35329.5407847743,35801.9908193855,35664.8736244999,35764.5026260661
"112",1987-10-01,1874.186,826.781,53.52,183467,3563.86666666667,2700.967,5046.64985052317,6658.94369706029,27507.1258074922,27358.2808520338,27247.640376906,27070.9192240005,26852.6263896608,36295.0486848332,35867.1959136101,35329.5407847743,35801.9908193855,35664.8736244999
"113",1988-01-01,1923.07,838.387,53.943,183967.333333333,3651.1,2761.457,5119.21287284726,6768.44076154459,27826.749347786,27507.1258074922,27358.2808520338,27247.640376906,27070.9192240005,36791.5359694906,36295.0486848332,35867.1959136101,35329.5407847743,35801.9908193855
"114",1988-04-01,1964.954,853.54,54.539,184389.333333333,3733.63333333333,2818.494,5167.85052897926,6845.80453131398,28026.8410084057,27826.749347786,27507.1258074922,27358.2808520338,27247.640376906,37126.9010390007,36791.5359694906,36295.0486848332,35867.1959136101,35329.5407847743
